Project Id;Region;Country;Project Status;project_name;Project Development Objective;Implementing Agency;Consultant Services Required;Project URL;Board Approval Date;Project Closing Date;Financing Type;Current Project Cost
P176717;East Asia and Pacific;Socialist Republic of Vietnam;Active;The Vietnam Inclusive and Sustainable Recovery Development Policy Operation;The proposed operation will support the Government of Vietnam’s effort to promote a more inclusive, green and digital-friendly econo mic recovery in the aftermath of the COVID-19 pandemic.;;;https://projects.worldbank.org/en/projects-operations/project-detail/P176717;2021-06-29T00:00:00Z;2022-12-15T00:00:00Z;;0
P172628;South Asia;Islamic Republic of Pakistan;Active;Securing Human Investments to Foster Transformation II;"The development objective of the second DPO in the series is to continue to (i) strengthen CRVS, health and education systems essent ial for HC accumulation; (ii) recognize the contribution of women to economic productivity; and (iii) improve national safety nets t o respond to shocks in a more efficient manner.";Economic Affairs Division, Ministry of Finance, Ministry of Federal Education and Professional Training, Benazir Income Support Program - BISP;;https://projects.worldbank.org/en/projects-operations/project-detail/P172628;2021-06-28T00:00:00Z;2022-06-30T00:00:00Z;;0
P174347;East Asia and Pacific;The Independent State of Papua New Guine;Active;Papua New Guinea Crisis Response and Sustainable Recovery Development Policy Operation;"The Program Development Objective is to support the Government of Papua New Guinea in: (i) protecting lives and livelihoods of the p opulation during the COVID-19 crisis; and (ii) laying foundations for a more sustainable recovery over the medium-term.";Department of Treasury;;https://projects.worldbank.org/en/projects-operations/project-detail/P174347;2021-06-28T00:00:00Z;2022-09-30T00:00:00Z;;0
P174553;South Asia;Islamic Republic of Pakistan;Active;Pakistan Program for Affordable and Clean Energy (PACE);To reduce circular debt flow through reducing power generation costs, decarbonizing the energy mix, improving efficiency in distribu tion, and retargeting electricity subsidies.;MINISTRY OF FINANCE AND REVENUE;;https://projects.worldbank.org/en/projects-operations/project-detail/P174553;2021-06-28T00:00:00Z;2022-06-30T00:00:00Z;;0
P173676;Africa West;Republic of Sierra Leone;Active;Resilient Urban Sierra Leone Project;The Project development objective is to improve integrated urban management, service delivery, and disaster emergency management in Western Area and secondary cities of Sierra Leone.;Freetown City Council, Fiscal Decentralization Division in Ministry of Finance, National Disaster Management Agency, Western Area Rural District Council, Bo City Council;;https://projects.worldbank.org/en/projects-operations/project-detail/P173676;2021-06-25T00:00:00Z;;;0
P176822;Latin America and Caribbean;St. Vincent and the Grenadines;Active;Supplemental Financing to the Fiscal Reform and Resilience DPC Series;"The development objective is to support the GoSVG in: (i) responding to the COVID-19 pandemic to protect the vulnerable; (ii) streng thening fiscal resilience; and (iii) enhancing climate and disaster resilience.";Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P176822;2021-06-25T00:00:00Z;;;0
P175008;East Asia and Pacific;Republic of the Philippines;Active;Philippines First Financial Sector Reform Development Policy Financing;The program development objective of this programmatic operation is to support financial sector reforms that will assist the Governm ent of the Philippines in achieving a resilient, inclusive and sustainable financial sector.;Department of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P175008;2021-06-24T00:00:00Z;2022-06-30T00:00:00Z;;0
P175492;Latin America and Caribbean;Barbados;Active;Barbados COVID-19 Response and Recovery DPF;The development objective of this operation is to support Barbados’ response to the COVID-19 crisis and to promote the post-crisis e conomic recovery.;Ministry of Finance, Economic Affairs and Investment (MFEI);;https://projects.worldbank.org/en/projects-operations/project-detail/P175492;2021-06-24T00:00:00Z;2022-06-30T00:00:00Z;;0
P176137;South Asia;Islamic  Republic of Afghanistan;Active;2021 Afghanistan Incentive Program Development Policy Grant;"Program Development Objectives are: i) supporting sustainability, inclusivity, and transparency in public finances and the civil ser vice; and ii) strengthening the institutional and regulatory framework to support recovery from COVID-19 through management of risks  and improved governance.";Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P176137;2021-06-24T00:00:00Z;2022-06-30T00:00:00Z;;0
P176387;Latin America and Caribbean;Republic of Peru;Active;Investing in Human Capital DPF II;"The Program Development Objective (PDO) is to support Government policies to protect and invest in human capital accumulation throug h: (a) improving delivery of social protection and early childhood development services; (b) increasing access to health services an d ensuring continuity of care, and (c) improving teacher management and professional development systems.";Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P176387;2021-06-24T00:00:00Z;2022-12-31T00:00:00Z;;0
P176756;East Asia and Pacific;Kingdom of Cambodia;Active;Cambodia Relief, Recovery and Resilience Development Policy Financing;"The program development objective is to support the Royal Government of Cambodia to effectively deal with the COVID-19 crisis and it s aftermath by: (i) continuing to provide timely and targeted relief to the affected population; (ii) facilitating robust recovery t hrough structural reforms; and (iii) building resilience against future economic shocks.";Ministry of Economy and Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P176756;2021-06-24T00:00:00Z;2022-05-31T00:00:00Z;;0
P175758;South Asia;Kingdom of Bhutan;Active;Bhutan - COVID-19 Crisis Response DPC;The operation aims to (i) strengthen policies for economic resilience and environmental sustainability and (ii) enhance programs to address the economic, social and health impact of COVID-19.;Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P175758;2021-06-23T00:00:00Z;2022-06-30T00:00:00Z;;0
P163542;Europe and Central Asia;Central Asia;Active;Climate Adaptation and Mitigation Program for Aral Sea Basin CAMP4ASB Additional Financing;<p>To enhance regionally coordinated access to improved climate change knowledge services for key stakeholders (e.g., policy makers,  communities, and civil society) in participating Central Asian countries, as well as to increased investments and capacity building  that, combined, will address climate challenges common to these countries.</p>;Committee for Environmental Protection, Agro Industries and Food Security Agency;;https://projects.worldbank.org/en/projects-operations/project-detail/P163542;2021-06-22T00:00:00Z;;;0
P176564;Africa East;Federal Democratic Republic of Ethiopia;Active;Second Additional Financing for the Second Agriculture Growth Project;The Project Development Objective is to increase agricultural productivity and commercialization of small holder farmers targeted by the project.;Ministry of Agriculture;;https://projects.worldbank.org/en/projects-operations/project-detail/P176564;2021-06-21T00:00:00Z;;;0
P174004;Middle East and North Africa;Kingdom of Morocco;Active;Second Financial and Digital Inclusion Development Policy Financing;The overarching Development Objective of the DPF series is to improve financial inclusion, digital entrepreneurship and access to di gital infrastructure and services for individuals and businesses and strengthen resilience of households and firms.;Ministry of Economy, Finance and Administration Reform;;https://projects.worldbank.org/en/projects-operations/project-detail/P174004;2021-06-17T00:00:00Z;2022-12-31T00:00:00Z;;0
P175570;Africa West;Republic of Liberia;Active;Liberia Second Inclusive Growth Development Policy Operation;"The program development objectives of these series are: 1) removing distortions in selected sectors and strengthening public-sector transparency; and 2) promoting economic and social inclusion.";Ministry of Finance and Development Planning;;https://projects.worldbank.org/en/projects-operations/project-detail/P175570;2021-06-17T00:00:00Z;2022-12-31T00:00:00Z;;0
P173982;South Asia;Nepal;Active;Nepal Programmatic Fiscal Policy for Growth, Recovery and Resilience DPC;The program's development objectives are to (i) strengthen the regulatory and institutional framework to build back better and green er and (ii) enhance systems and regulations to protect the most vulnerable and support sustainable business growth.;Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P173982;2021-06-16T00:00:00Z;2022-05-31T00:00:00Z;;0
P172439;East Asia and Pacific;Republic of Indonesia;Active;Indonesia Investment and Trade Reforms DPL;To support the reform of Indonesia’s investment and trade policies in support of economic recovery and transformation.;Coordinating Ministry of Economic Affairs;;https://projects.worldbank.org/en/projects-operations/project-detail/P172439;2021-06-15T00:00:00Z;2021-12-31T00:00:00Z;;0
P175934;Africa East;Republic of Botswana;Active;Botswana Programmatic Economic Resilience and Green Recovery DPF;To support Government’s response to the COVID-19 pandemic, strengthen private sector development, and promote a resilient, green rec overy.;Ministry of Finance and Economic Development;;https://projects.worldbank.org/en/projects-operations/project-detail/P175934;2021-06-11T00:00:00Z;2022-12-31T00:00:00Z;;0
P173232;East Asia and Pacific;Republic of Indonesia;Active;Indonesia Second Financial Sector Reform Development Policy Financing;The program development objective of this programmatic operation is to support financial sector reforms that will assist the Governm ent of Indonesia (GoI) in achieving a deep, efficient and resilient financial sector. The proposed operation is the second in a seri es of three programmatic operations.This programmatic DPL series is structured around the following three pillars and set of objec tives:• Pillar A: Increasing the Depth of the Financial Sector. Pillar objectives: to expand the size of the financial sector by in creasing outreach (including to youth and women), broadening financial market products and mobilizing long-term savings.• Pillar B:  Improving the Efficiency of the Financial Sector. Pillar objectives: to lower the costs for individuals and enterprises by strength ening the insolvency and creditor rights framework, protecting consumers and personal data and strengthening payment systems.• Pill ar C: Strengthening the Resilience of the Financial Sector. Pillar objectives: to strengthen the capacity of the sector to withstand  financial and non-financial shocks by strengthening the resolution framework, implementing sustainable finance practices, establish ing disaster risk finance mechanisms and advancing the effectiveness of financial sector oversight.;Fiscal Policy Agency, Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P173232;2021-06-10T00:00:00Z;2022-06-30T00:00:00Z;;0
P175251;Africa East;Republic of Kenya;Active;Accelerating Reforms for an Inclusive and Resilient Recovery DPF;Accelerating reforms for a resilient and sustainable recovery from the COVID-19 shock, and the continued advancement of Kenya's incl usive growth agenda.;The National Treasury;;https://projects.worldbank.org/en/projects-operations/project-detail/P175251;2021-06-10T00:00:00Z;2022-06-30T00:00:00Z;;0
P176054;Europe and Central Asia;Kyrgyz Republic;Active;Kyrgyz Republic Emergency COVID-19 Project -  Additional Financing;To prepare and respond to the COVID-19 pandemic in the Kyrgyz Republic.;Ministry of Health, Ministry of Health and Social Development;;https://projects.worldbank.org/en/projects-operations/project-detail/P176054;2021-06-03T00:00:00Z;;;0
P174975;Middle East and North Africa;West Bank and Gaza;Active;Building the Foundations of a Digital Economy, Strengthening Resilience, and Supporting Governance DPG;The Development Objectives of the proposed operation are to: (i) Support the digital foundations of the Palestinian economy, (ii) St rengthen recovery and resilience post COVID-19 (iii) Improve governance and transparency in the areas of public procurement, wage bi ll control and the health sector.;Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P174975;2021-05-28T00:00:00Z;2022-09-30T00:00:00Z;;0
P175490;Latin America and Caribbean;Commonwealth of The Bahamas;Active;The Bahamas COVID-19 Response and Recovery DPF;The development objective of this operation is to support COVID-19 relief and lay the foundation for resilient economic recovery in The Bahamas.;Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P175490;2021-05-25T00:00:00Z;2022-06-30T00:00:00Z;;0
P175126;Latin America and Caribbean;Republic of Colombia;Active;RESILIENT AND SUSTAINABLE INFRASTRUCTURE FOR RECOVERY DPF 2;The development objective of this programmatic series is to support the Government of Colombia's multiyear efforts to sustain access  to critical infrastructure services for firms and households following the COVID-19 crisis, while establishing the policy foundatio ns for recovery through sustainable and resilient infrastructure.;Ministry of Information Technologies and Communications, Ministry of Mines and Energy, Ministry of Transport;;https://projects.worldbank.org/en/projects-operations/project-detail/P175126;2021-05-17T00:00:00Z;2022-06-30T00:00:00Z;;0
P168332;Africa West;Republic of Cameroon;Active;Third Fiscal Consolidation and Inclusive Growth DPO;The objectives of the proposed Third Fiscal Consolidation and Inclusive Growth Development Policy Financing operation are to support  the Government of Cameroon’s efforts to : (i) ensure fiscal sustainability and improve public-sector management, (ii) enhance compe titiveness, and (iii) enhance the provision of social services and scale up social protection.;Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P168332;2021-04-19T00:00:00Z;2022-02-28T00:00:00Z;;0
P168725;South Asia;People's Republic of Bangladesh;Active;Bangladesh Third Programmatic Jobs Development Policy Credit;"The Bangladesh Jobs DPC supports the Government of Bangladesh's program of reforms to address the country’s jobs challenges by: (i) modernizing the trade and investment environment; (ii) strengthening systems that protect workers and build resilience; and (iii) im proving policies and programs that enhance access to jobs for vulnerable populations";Finance Division/Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P168725;2021-03-26T00:00:00Z;2022-04-30T00:00:00Z;;0
P173558;East Asia and Pacific;Republic of Fiji;Active;Fiji Recovery and Resilience First Development Policy Operation with a Catastrophe-Deferred Drawdown Option;"The development objective is to: i) promote private sector-led economic recovery; ii) enhance climate, disaster and social resilienc e; and iii) strengthen debt and public financial management.";Ministry of Economy, Ministry of Commerce, Trade, Tourism and Transport;;https://projects.worldbank.org/en/projects-operations/project-detail/P173558;2021-03-25T00:00:00Z;2024-03-25T00:00:00Z;;0
P174440;Latin America and Caribbean;Republic of Peru;Active;Peru: Strengthening Foundations for Post COVID-19 Recovery DPF;The Program Development Objective is to support Government policies aimed at: (i) strengthening institutions to mitigate the social and economic impact of the COVID-19 pandemic, and (ii) reinforcing structural foundations for an inclusive and climate smart economi c recovery.;Ministry of Economy and Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P174440;2021-03-25T00:00:00Z;2022-05-31T00:00:00Z;;0
P175139;Africa East;Republic of the Sudan;Active;Sudan Reengagement and Reform Development Policy Financing;"To facilitate Sudan's re-engagement with the World Bank Group and support the country's economic reform agenda through policies that  support: (i) correcting macroeconomic imbalances- exchange rate liberalization and phasing out fuel subsidies; (ii) strengthening s ocial protection and financial inclusion - implementing the Sudan Family Support Program (SFSP); and  (iii) improving transparency a nd accountability of the public sector – standards for publication of the budget and budget execution reports.";Ministry of Finance and Economic Planning;;https://projects.worldbank.org/en/projects-operations/project-detail/P175139;2021-03-25T00:00:00Z;2022-03-31T00:00:00Z;;0
P174531;Latin America and Caribbean;Jamaica;Active;Jamaica COVID-19 Response and Recovery Development Policy Financing;"The development objective of this operation is to assist in Jamaica's response to the COVID-19 crisis by: (i) protecting poor and vu lnerable people; (ii) supporting sustainable business growth and job creation; and (iii) strengthening policies and institutions for  resilient and sustainable recovery.";Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P174531;2021-03-18T00:00:00Z;2022-03-31T00:00:00Z;;0
P174927;Latin America and Caribbean;Commonwealth of Dominica;Active;Dominica First COVID-19 Response and Recovery Programmatic DPC;"The operation seeks to support Dominica in its COVID-19 pandemic response and recovery by: (i) saving lives, protecting livelihoods and preserving jobs; and (ii) strengthening fiscal policies, public financial management and debt transparency for a resilient recov ery.";Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P174927;2021-03-18T00:00:00Z;2021-12-31T00:00:00Z;;0
P168336;Africa East;Republic of Angola;Active;Second Angola Growth and Inclusion Development Policy Financing Operation;"The development objective is to support the Government of Angola to achieve more sustainable and inclusive growth, through (i) a mac ro-financial and institutional environment that is conducive to private-sector led growth; and (ii) financial and social inclusion.";Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P168336;2021-03-16T00:00:00Z;2021-12-31T00:00:00Z;;0
P171406;East Asia and Pacific;Lao People's Democratic Republic;Active;GEF Landscapes and Livelihoods Project;To promote sustainable forest management, improve protected area management, and enhance livelihoods opportunities in selected lands capes in Lao PDR.;Ministry of Agriculture and Forestry;;https://projects.worldbank.org/en/projects-operations/project-detail/P171406;2021-02-23T00:00:00Z;2027-09-30T00:00:00Z;;0
P174110;Africa West;Republic of Cote d'Ivoire;Active;Cote D'Ivoire COVID-19 Emergency DPO 2021;The Program Development Objectives and Pillars of the proposed operation are to: (1) strengthen the COVID-19 emergency response and (2) promote sustained economic recovery.;Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P174110;2021-02-16T00:00:00Z;2021-12-31T00:00:00Z;;0
P174150;Latin America and Caribbean;United Mexican States;Active;Mexico Strengthening Economic Sustainability DPF;To facilitate economic resilience and support fiscal and environmental sustainability;MINISTRY OF FINANCE AND PUBLIC CREDIT (SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO);;https://projects.worldbank.org/en/projects-operations/project-detail/P174150;2021-01-21T00:00:00Z;2021-12-31T00:00:00Z;;0
P165375;South Asia;Nepal;Active;Nepal Emission Reductions Program in the Terai Arc Landscape;The Project Development Objective is to make payments to the Recipient for measured, reported and verified Emission Reductions relat ed to reduced deforestation, forest degradation and the enhancement of forest carbon stocks (ER payments) in Terai Arc Landscape, an d to distribute ER payments in accordance with an agreed-upon benefit sharing plan.;Ministry of Forests and Environment;No;https://projects.worldbank.org/en/projects-operations/project-detail/P165375;2021-01-21T00:00:00Z;;;0
P174346;Latin America and Caribbean;St. Lucia;Active;Saint Lucia COVID-19 Response, Recovery and Resilience Development Policy Credit;The proposed operation aims to mitigate the negative economic effects and risks from COVID-19 on the most vulnerable and to strength en medium-term resilience and sustainability by: (i) protecting lives and livelihoods in response to COVID-19, (ii) ensuring busines s continuity and financial resilience, and (iii) enhancing public sector and public debt management for the post-crisis recovery;Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P174346;2021-01-14T00:00:00Z;2021-12-31T00:00:00Z;;0
P168335;Africa East;Democratic Republic of Sao Tome and Prin;Active;STP COVID-19 Human and Economic Response, Recovery and Resilience DPO;The objective of this operation is to support the government's response to the human and economic impact of the COVID-19 pandemic an d economy-wide and sectoral reforms for a stronger recovery.;Ministry of of Planning, Finance and Blue Economy;;https://projects.worldbank.org/en/projects-operations/project-detail/P168335;2020-12-18T00:00:00Z;2021-12-31T00:00:00Z;;0
P173698;Latin America and Caribbean;Republic of Guatemala;Active;Crisis Response and Recovery in Guatemala DPL;"This DPF series supports the Government’s efforts to: i) mitigate the impact of COVID-19 on the poor and vulnerable, protect and pro mote human capital accumulation; ii) mitigate the economic impact of COVID-19 and support reforms to stimulate and inclusive and sus tainable recovery; and iii) promote public sector transparency and increase domestic resource mobilization.";Ministry of Finance Guatemala (MINFIN);;https://projects.worldbank.org/en/projects-operations/project-detail/P173698;2020-12-17T00:00:00Z;2022-11-03T00:00:00Z;;0
P174000;Latin America and Caribbean;United Mexican States;Active;Environmental Sustainability and Urban Resilience DPF;Support (i) strengthening environmental sustainability and resilience, and (ii) expanding access to resilient urban infrastructure a nd social housing.;SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO;;https://projects.worldbank.org/en/projects-operations/project-detail/P174000;2020-12-17T00:00:00Z;2021-12-31T00:00:00Z;;0
